Geneid	SRR10416711
126661	43
25974	731
5052	13360
10327	1317
4678	6929
149483	23
60313	2876
728963	6
51249	1595
3652	267
23139	1477
8503	568
101929626	0
10103	3458
55624	1989
541468	1
8438	742
10489	1516
7388	5225
387338	834
2166	3
729041	2
101929651	0
127343	32
100507423	8
148930	0
8569	699
148932	564
64756	1306
374973	0
100130197	4
9813	5038
1580	1
163720	0
1579	0
260293	130
199974	2
284541	0
100874253	3
10158	548
6886	0
6491	1986
51727	4545
102724077	8
2301	3
84793	96
2306	47
388630	6
391037	0
200010	0
54558	9
84871	5
79656	3
101929721	0
100874313	0
1996	0
63950	462
11124	1067
1031	308
100616189	0
102466656	0
284546	0
26994	1663
22996	32
102724097	0
2060	2017
114883	3157
4898	6014
100313892	0
5865	16
51060	3259
112970	0
104355143	2
91408	1724
9372	1221
200014	835
4998	1726
84950	1833
23318	668
105378722	0
2882	0
348378	0
65260	1247
79699	744
440590	0
55268	60
6342	1317
100616156	2
100616458	0
100616145	0
127435	0
6512	0
1376	601
54987	437
4116	1458
100507564	5
7804	2203
163742	0
63948	0
148979	0
105369175	0
55706	3876
54432	437
1733	5
51668	904
115353	1151
388633	3
9528	2284
127428	323
100616315	0
200008	0
606495	103
51253	3581
23648	741
619518	5
26027	399
338094	14
374977	0
100527960	0
7268	27
25973	198
55001	339
163747	1
1718	13085
100126514	0
199964	10
7809	0
255738	1014
23358	3691
100507634	16
100616272	0
8613	519
5563	26
199920	0
731	0
732	0
1600	0
101926890	0
115209	540
4070	14428
114803	1019
3725	1597
100131060	0
101926925	1
729467	1
55277	101
100616409	0
101926944	3
51361	1047
1573	96
127795	0
101926964	0
100996570	0
4774	1481
645030	0
414927	0
83941	292
10207	1494
100422902	0
100422946	0
54596	0
163782	1
7398	2856
85440	1840
27329	2
84938	233
199899	0
100996301	8
27022	1
102464823	0
29929	438
23421	519
84455	137
79469	5
5236	2232
4919	246
101927034	0
148581	0
57685	637
100616338	0
55225	713
3716	7104
101927084	0
105378775	2
100500854	5
406893	0
205	1755
9829	33
54741	1427
3953	71
5142	5
101927139	0
84251	0
100422871	0
200132	0
10022	0
79819	58
57708	1333
23169	716
400757	0
149233	0
3595	18
26135	16613
1647	696
55970	6013
100289178	4
9077	3
79971	1729
100302279	0
6121	305
55635	2430
101927220	15
57554	18
5301	0
55631	837
9295	3544
81573	792
11147	96
1491	83
101927244	0
5733	0
100132618	27
9406	2002
406962	1
100852410	0
257194	4
100852409	0
101927295	2
127255	5
100526835	0
8790	156
51086	0
105378804	0
105378803	0
